gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3070467864	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/72640255	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		TW		Taiwan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.920945	120.884028							2021-03-29T16:31:00	29	3	2021	5332927	5332927	HUMAN_OBSERVATION	iNaturalist	Observations	72640255		galanhsnu	2021-04-02T01:39:09	CC_BY_NC_4_0	Hong	Hong			2021-05-18T12:28:18.041Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
3018085413	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/44712475	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		TW		Taiwan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	24.555188	121.10052	220.0						2020-04-30T17:00:00	30	4	2020	5332927	5332927	HUMAN_OBSERVATION	iNaturalist	Observations	44712475		山羌	2020-05-03T11:18:45	CC_BY_NC_4_0	山羌	山羌			2021-05-18T12:26:07.988Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2996746041	5c9a924c-8d45-4452-8604-415a118578aa	3843567	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	castanopsis fargesii franchet	Franchet	CL			PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	0.0	0.0			0.0	0.0			1986-09-12T00:00:00	12	9	1986	5332927	5332927	PRESERVED_SPECIMEN	MBM	MBM	MBM133832	1216			CC_BY_4_0	MBM	Bartholomew, B;et al.,Bartholomew, B.			2021-05-21T14:06:55.004Z	StillImage	ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;COUNTRY_MISMATCH;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2996743046	5c9a924c-8d45-4452-8604-415a118578aa	3843565	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	castanopsis fargesii franchet	Franchet	CL			PRESENT		838537fc-4aeb-4980-8b58-97fbdcd1d91a	0.0	0.0			0.0	0.0			1986-09-03T00:00:00	3	9	1986	5332927	5332927	PRESERVED_SPECIMEN	MBM	MBM	MBM133830	810			CC_BY_4_0	MBM	Bartholomew, B;et al.,Bartholomew, B.			2021-05-21T14:06:55.065Z	StillImage	ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;COUNTRY_MISMATCH;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
2980959133	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/64154715	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		TW		Taiwan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.573952	120.624237							2020-11-03T10:35:00	3	11	2020	5332927	5332927	HUMAN_OBSERVATION	iNaturalist	Observations	64154715		Hong	2020-11-04T04:12:16	CC_BY_NC_4_0	Hong	Hong			2021-05-18T12:27:04.531Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2980953133	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/64164870	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		TW		Taiwan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.574605	120.626							2020-11-03T12:29:00	3	11	2020	5332927	5332927	HUMAN_OBSERVATION	iNaturalist	Observations	64164870		Hong	2020-11-04T09:07:25	CC_BY_NC_4_0	Hong	Hong			2021-05-18T12:25:54.113Z	StillImage	GEODETIC_DATUM_ASSUMED_WGS84
2963917347	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/42219589	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		TW		Taiwan	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	23.905895	120.889962	9.0						2020-04-15T13:56:46	15	4	2020	5332927	5332927	HUMAN_OBSERVATION	iNaturalist	Observations	42219589		greenlapwing	2020-04-15T05:57:23	CC_BY_NC_4_0	greenlapwing	greenlapwing			2021-05-18T12:25:45.271Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2898483719	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/62171532	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii		TW		Taichung	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	24.171751	120.965224	2000.0						2020-10-10T11:58:22	10	10	2020	5332927	5332927	HUMAN_OBSERVATION	iNaturalist	Observations	62171532		jamestu	2020-10-13T09:20:56	CC_BY_NC_4_0	ncyuchen	ncyuchen			2021-05-18T12:51:25.881Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2859121936	f3f03cbf-1a01-4739-ae15-c1355b8c2dbf	E510F683-09B4-4D25-A9B3-C314CD8D9E77	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii	Franch.	CN		Jiangxi	PRESENT		c1da06f0-580e-11dc-8a9e-b8a03c50a862					380.0								5332927	5332927	PRESERVED_SPECIMEN	CM	Botany	CM367422	11506			CC0_1_0	Carnegie Museum of Natural History	Yao, K.			2021-05-03T19:13:30.675Z		COORDINATE_INVALID;RECORDED_DATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
2859121897	f3f03cbf-1a01-4739-ae15-c1355b8c2dbf	3587CDE1-DAAA-4424-BB9A-73E5DEAA7ECB	Plantae	Tracheophyta	Magnoliopsida	Fagales	Fagaceae	Castanopsis	Castanopsis fargesii		SPECIES	Castanopsis fargesii Franch.	Castanopsis fargesii	Franch.	CN	daiyenpeng along the Kaitu R. on the SW side f the Fanjing Shan Mtn. range	Jiangkou xian	PRESENT		c1da06f0-580e-11dc-8a9e-b8a03c50a862					875.0	125.0			1986-09-11T00:00:00	11	9	1986	5332927	5332927	PRESERVED_SPECIMEN	CM	Botany	CM342762	1192			CC0_1_0	Carnegie Museum of Natural History				2021-05-03T19:13:30.664Z		COORDINATE_INVALID;INSTITUTION_MATCH_FUZZY;INSTITUTION_COLLECTION_MISMATCH
