"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","optional"
"1",3070467864,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/72640255","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii",NA,"TW",NA,"Taiwan","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",23.920945,120.884028,NA,NA,NA,NA,NA,NA,2021-03-29 16:31:00,29,3,2021,5332927,5332927,"HUMAN_OBSERVATION","iNaturalist","Observations","72640255",NA,"galanhsnu",2021-04-02 01:39:09,"CC_BY_NC_4_0","Hong","Hong",NA,NA,2021-05-18 12:28:18,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84",TRUE
"2",3018085413,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/44712475","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii",NA,"TW",NA,"Taiwan","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",24.555188,121.10052,220,NA,NA,NA,NA,NA,2020-04-30 17:00:00,30,4,2020,5332927,5332927,"HUMAN_OBSERVATION","iNaturalist","Observations","44712475",NA,"<U+5C71><U+7F8C>",2020-05-03 11:18:45,"CC_BY_NC_4_0","<U+5C71><U+7F8C>","<U+5C71><U+7F8C>",NA,NA,2021-05-18 12:26:07,"StillImage","GEODETIC_DATUM_ASSUMED_WGS84",TRUE
"3",2996746041,"5c9a924c-8d45-4452-8604-415a118578aa","3843567","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","castanopsis fargesii franchet","Franchet","CL",NA,NA,"PRESENT",NA,"838537fc-4aeb-4980-8b58-97fbdcd1d91a",0,0,NA,NA,0,0,NA,NA,1986-09-12 00:00:00,12,9,1986,5332927,5332927,"PRESERVED_SPECIMEN","MBM","MBM","MBM133832","1216",NA,NA,"CC_BY_4_0","MBM","Bartholomew, B;et al.,Bartholomew, B.",NA,NA,2021-05-21 14:06:55,"StillImage","ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;COUNTRY_MISMATCH;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",TRUE
"4",2996743046,"5c9a924c-8d45-4452-8604-415a118578aa","3843565","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","castanopsis fargesii franchet","Franchet","CL",NA,NA,"PRESENT",NA,"838537fc-4aeb-4980-8b58-97fbdcd1d91a",0,0,NA,NA,0,0,NA,NA,1986-09-03 00:00:00,3,9,1986,5332927,5332927,"PRESERVED_SPECIMEN","MBM","MBM","MBM133830","810",NA,NA,"CC_BY_4_0","MBM","Bartholomew, B;et al.,Bartholomew, B.",NA,NA,2021-05-21 14:06:55,"StillImage","ZERO_COORDINATE;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;COUNTRY_MISMATCH;RECORDED_DATE_INVALID;TAXON_MATCH_HIGHERRANK;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY",TRUE
"5",2980959133,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/64154715","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii",NA,"TW",NA,"Taiwan","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",23.573952,120.624237,NA,NA,NA,NA,NA,NA,2020-11-03 10:35:00,3,11,2020,5332927,5332927,"HUMAN_OBSERVATION","iNaturalist","Observations","64154715",NA,"Hong",2020-11-04 04:12:16,"CC_BY_NC_4_0","Hong","Hong",NA,NA,2021-05-18 12:27:04,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84",TRUE
"6",2980953133,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/64164870","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii",NA,"TW",NA,"Taiwan","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",23.574605,120.626,NA,NA,NA,NA,NA,NA,2020-11-03 12:29:00,3,11,2020,5332927,5332927,"HUMAN_OBSERVATION","iNaturalist","Observations","64164870",NA,"Hong",2020-11-04 09:07:25,"CC_BY_NC_4_0","Hong","Hong",NA,NA,2021-05-18 12:25:54,"StillImage","GEODETIC_DATUM_ASSUMED_WGS84",TRUE
"7",2963917347,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/42219589","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii",NA,"TW",NA,"Taiwan","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",23.905895,120.889962,9,NA,NA,NA,NA,NA,2020-04-15 13:56:46,15,4,2020,5332927,5332927,"HUMAN_OBSERVATION","iNaturalist","Observations","42219589",NA,"greenlapwing",2020-04-15 05:57:23,"CC_BY_NC_4_0","greenlapwing","greenlapwing",NA,NA,2021-05-18 12:25:45,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84",TRUE
"8",2898483719,"50c9509d-22c7-4a22-a47d-8c48425ef4a7","https://www.inaturalist.org/observations/62171532","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii",NA,"TW",NA,"Taichung","PRESENT",NA,"28eb1a3f-1c15-4a95-931a-4af90ecb574d",24.171751,120.965224,2000,NA,NA,NA,NA,NA,2020-10-10 11:58:22,10,10,2020,5332927,5332927,"HUMAN_OBSERVATION","iNaturalist","Observations","62171532",NA,"jamestu",2020-10-13 09:20:56,"CC_BY_NC_4_0","ncyuchen","ncyuchen",NA,NA,2021-05-18 12:51:25,"StillImage","COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84",TRUE
"9",2825655405,"eb7681c5-5c9c-4e28-954f-f328991c7004","TAIF:PLANT:303104:1:1:399424","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii Franchet",NA,"CN","Xuanen County","Hubei (<U+6E56><U+5317><U+7701>)","PRESENT",NA,"898ba450-1627-11df-bd84-b8a03c50a862",30.033333,109.683333,NA,NA,750,0,NA,NA,2009-10-06 00:00:00,6,10,2009,5332927,5332927,"PRESERVED_SPECIMEN","TAIF","PLANT","399424","1417","Zi-En Zhao",2009-10-01 00:00:00,"CC_BY_NC_4_0","TAIF","Dongsheng",NA,NA,2021-03-30 13:12:41,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",TRUE
"10",2825649319,"eb7681c5-5c9c-4e28-954f-f328991c7004","TAIF:PLANT:303104:2:1:399423","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii Franchet",NA,"CN","Xuanen County","Hubei (<U+6E56><U+5317><U+7701>)","PRESENT",NA,"898ba450-1627-11df-bd84-b8a03c50a862",30.033333,109.683333,NA,NA,750,0,NA,NA,2009-10-06 00:00:00,6,10,2009,5332927,5332927,"PRESERVED_SPECIMEN","TAIF","PLANT","399423","1417","Zi-En Zhao",2009-10-01 00:00:00,"CC_BY_NC_4_0","TAIF","Dongsheng",NA,NA,2021-03-30 13:12:40,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",TRUE
"11",2825648336,"eb7681c5-5c9c-4e28-954f-f328991c7004","TAIF:PLANT:22714:1:1:21295","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis taiwaniana Hayata","Castanopsis taiwaniana Hayata",NA,"TW","Shuishe",NA,"PRESENT",NA,"898ba450-1627-11df-bd84-b8a03c50a862",23.859444,126.905,NA,NA,NA,NA,NA,NA,1918-12-13 00:00:00,13,12,1918,5332928,5332927,"PRESERVED_SPECIMEN","TAIF","PLANT","21295","s. n.",NA,NA,"CC_BY_NC_4_0","TAIF","Ryozo Kanehira",NA,NA,2021-03-30 13:12:40,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;COUNTRY_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",TRUE
"12",2825644221,"eb7681c5-5c9c-4e28-954f-f328991c7004","TAIF:PLANT:290859:2:1:379788","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii Franchet",NA,"CN","Xinhua Village","Hubei (<U+6E56><U+5317><U+7701>)","PRESENT",NA,"898ba450-1627-11df-bd84-b8a03c50a862",30.1,109.033333,NA,NA,930,0,NA,NA,2008-11-02 00:00:00,2,11,2008,5332927,5332927,"PRESERVED_SPECIMEN","TAIF","PLANT","379788","s. n.","Zi-En Zhao",2008-11-01 00:00:00,"CC_BY_NC_4_0","TAIF","(unknown)",NA,NA,2021-03-30 13:12:40,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",TRUE
"13",2825618268,"eb7681c5-5c9c-4e28-954f-f328991c7004","TAIF:PLANT:290859:1:1:379789","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii Franchet",NA,"CN","Xinhua Village","Hubei (<U+6E56><U+5317><U+7701>)","PRESENT",NA,"898ba450-1627-11df-bd84-b8a03c50a862",30.1,109.033333,NA,NA,930,0,NA,NA,2008-11-02 00:00:00,2,11,2008,5332927,5332927,"PRESERVED_SPECIMEN","TAIF","PLANT","379789","s. n.","Zi-En Zhao",2008-11-01 00:00:00,"CC_BY_NC_4_0","TAIF","(unknown)",NA,NA,2021-03-30 13:12:38,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",TRUE
"14",2825614333,"eb7681c5-5c9c-4e28-954f-f328991c7004","TAIF:PLANT:22713:1:1:21294","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis taiwaniana Hayata","Castanopsis taiwaniana Hayata",NA,"TW","Shuishe",NA,"PRESENT",NA,"898ba450-1627-11df-bd84-b8a03c50a862",23.859444,126.905,NA,NA,NA,NA,NA,NA,1923-11-06 00:00:00,6,11,1923,5332928,5332927,"PRESERVED_SPECIMEN","TAIF","PLANT","21294","s. n.",NA,NA,"CC_BY_NC_4_0","TAIF","T. Hayashi",NA,NA,2021-03-30 13:12:36,NA,"COORDINATE_ROUNDED;GEODETIC_DATUM_INVALID;GEODETIC_DATUM_ASSUMED_WGS84;COUNTRY_COORDINATE_MISMATCH;COUNTRY_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY",TRUE
"15",2645935542,"7a3679ef-5582-4aaa-81f0-8c2545cafc81","o-1005283894","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","Castanopsis","Castanopsis fargesii",NA,"SPECIES","Castanopsis fargesii Franch.","Castanopsis fargesii Franch.","Franch.","CN",NA,NA,"PRESENT",1,"da86174a-a605-43a4-a5e8-53d484152cd3",21.737618,101.581019,NA,NA,NA,NA,NA,NA,2017-12-26 11:13:56,26,12,2017,5332927,5332927,"HUMAN_OBSERVATION",NA,NA,NA,NA,NA,NA,"CC_BY_4_0",NA,NA,NA,NA,2021-03-09 18:07:40,"StillImage","COORDINATE_ROUNDED;COUNTRY_DERIVED_FROM_COORDINATES;OCCURRENCE_STATUS_INFERRED_FROM_INDIVIDUAL_COUNT",TRUE
